Category,Pickup Date
Storskrald,17-01-2025
Storskrald,14-02-2025
Storskrald,14-03-2025
Storskrald,11-04-2025
Storskrald,09-05-2025
Storskrald,06-06-2025
Storskrald,04-07-2025
Storskrald,01-08-2025
Storskrald,29-08-2025
Storskrald,26-09-2025
Storskrald,24-10-2025
Storskrald,21-11-2025
Storskrald,19-12-2025
Storskrald,16-01-2026
Storskrald,13-02-2026
Storskrald,13-03-2026
Storskrald,10-04-2026
Storskrald,08-05-2026
Storskrald,05-06-2026
Storskrald,03-07-2026
Storskrald,31-07-2026
Storskrald,28-08-2026
Storskrald,25-09-2026
Storskrald,23-10-2026
Storskrald,20-11-2026
Storskrald,18-12-2026
Haveaffald,10-01-2025
Haveaffald,24-01-2025
Haveaffald,07-02-2025
Haveaffald,21-02-2025
Haveaffald,07-03-2025
Haveaffald,21-03-2025
Haveaffald,04-04-2025
Haveaffald,18-04-2025
Haveaffald,02-05-2025
Haveaffald,16-05-2025
Haveaffald,30-05-2025
Haveaffald,13-06-2025
Haveaffald,27-06-2025
Haveaffald,11-07-2025
Haveaffald,25-07-2025
Haveaffald,08-08-2025
Haveaffald,22-08-2025
Haveaffald,05-09-2025
Haveaffald,19-09-2025
Haveaffald,03-10-2025
Haveaffald,17-10-2025
Haveaffald,31-10-2025
Haveaffald,14-11-2025
Haveaffald,28-11-2025
Haveaffald,12-12-2025
Haveaffald,26-12-2025
Glas-Papir,17-01-2025
Glas-Papir,14-02-2025
Glas-Papir,14-03-2025
Glas-Papir,11-04-2025
Glas-Papir,09-05-2025
Glas-Papir,06-06-2025
Glas-Papir,04-07-2025
Glas-Papir,01-08-2025
Glas-Papir,29-08-2025
Glas-Papir,26-09-2025
Glas-Papir,24-10-2025
Glas-Papir,21-11-2025
Glas-Papir,19-12-2025
Metal-Plast,03-01-2025
Metal-Plast,24-01-2025
Metal-Plast,14-02-2025
Metal-Plast,07-03-2025
Metal-Plast,28-03-2025
Metal-Plast,18-04-2025
Metal-Plast,09-05-2025
Metal-Plast,30-05-2025
Metal-Plast,20-06-2025
Metal-Plast,11-07-2025
Metal-Plast,01-08-2025
Metal-Plast,22-08-2025
Metal-Plast,12-09-2025
Metal-Plast,03-10-2025
Metal-Plast,24-10-2025
Metal-Plast,14-11-2025
Metal-Plast,05-12-2025
Metal-Plast,26-12-2025
Miljøboks,17-01-2025
Miljøboks,14-02-2025
Miljøboks,14-03-2025
Miljøboks,11-04-2025
Miljøboks,09-05-2025
Miljøboks,06-06-2025
Miljøboks,04-07-2025
Miljøboks,01-08-2025
Miljøboks,29-08-2025
Miljøboks,26-09-2025
Miljøboks,24-10-2025
Miljøboks,21-11-2025
Miljøboks,19-12-2025
Restaffald,07-01-2025
Restaffald,14-01-2025
Restaffald,21-01-2025
Restaffald,28-01-2025
Restaffald,04-02-2025
Restaffald,11-02-2025
Restaffald,18-02-2025
Restaffald,25-02-2025
Restaffald,04-03-2025
Restaffald,11-03-2025
Restaffald,18-03-2025
Restaffald,25-03-2025
Restaffald,01-04-2025
Restaffald,08-04-2025
Restaffald,15-04-2025
Restaffald,22-04-2025
Restaffald,29-04-2025
Restaffald,06-05-2025
Restaffald,13-05-2025
Restaffald,20-05-2025
Restaffald,27-05-2025
Restaffald,03-06-2025
Restaffald,10-06-2025
Restaffald,17-06-2025
Restaffald,24-06-2025
Restaffald,01-07-2025
Restaffald,08-07-2025
Restaffald,15-07-2025
Restaffald,22-07-2025
Restaffald,29-07-2025
Restaffald,05-08-2025
Restaffald,12-08-2025
Restaffald,19-08-2025
Restaffald,26-08-2025
Restaffald,02-09-2025
Restaffald,09-09-2025
Restaffald,16-09-2025
Restaffald,23-09-2025
Restaffald,30-09-2025
Restaffald,07-10-2025
Restaffald,14-10-2025
Restaffald,21-10-2025
Restaffald,28-10-2025
Restaffald,04-11-2025
Restaffald,11-11-2025
Restaffald,18-11-2025
Restaffald,25-11-2025
Restaffald,02-12-2025
Restaffald,09-12-2025
Restaffald,16-12-2025
Restaffald,23-12-2025
Restaffald,30-12-2025
Storskrald-Pap,17-01-2025
Storskrald-Pap,14-02-2025
Storskrald-Pap,14-03-2025
Storskrald-Pap,11-04-2025
Storskrald-Pap,09-05-2025
Storskrald-Pap,06-06-2025
Storskrald-Pap,04-07-2025
Storskrald-Pap,01-08-2025
Storskrald-Pap,29-08-2025
Storskrald-Pap,26-09-2025
Storskrald-Pap,24-10-2025
Storskrald-Pap,21-11-2025
Storskrald-Pap,19-12-2025
Pap,17-01-2025
Pap,14-02-2025
Pap,14-03-2025
Pap,11-04-2025
Pap,09-05-2025
Pap,06-06-2025
Pap,04-07-2025
Pap,01-08-2025
Pap,29-08-2025
Pap,26-09-2025
Pap,24-10-2025
Pap,21-11-2025
Pap,19-12-2025
